squareNumBack;i;i > 0;"squareNumBack.push(i * i);";i--;output
[];10;true;"10 * 10 = 100";10 - 1;
[100];9;true;"9 * 9 = 81";9 - 1;
[100, 81];8;true;"8 * 8 = 64";8 - 1;
[100, 81, 64];7;true;"7 * 7 = 49";7 - 1;
[100, 81, 64, 49];6;true;"6 * 6 = 36";6 - 1;
[100, 81, 64, 49, 36];5;true;"5 * 5 = 25";5 - 1;
[100, 81, 64, 49, 36, 25];4;true;"4 * 4 = 16";4 - 1;
[100, 81, 64, 49, 36, 25, 16];3;true;"3 * 3 = 9";3 - 1;
[100, 81, 64, 49, 36, 25, 16, 9];2;true;"2 * 2 = 4";2 - 1;
[100, 81, 64, 49, 36, 25, 16, 9, 4];1;true;"1 * 1 = 1";"1 - 1 ";
[100, 81, 64, 49, 36, 25, 16, 9, 4, 1];0;false;;;
;;;;;squareNumBack = [100, 81, 64, 49, 36, 25, 16, 9, 4, 1]
